City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Jasper,US,37.2,-94.35,75.99,88,1,4.7,clear sky
293,Aban,RU,56.67,96.06,49.41,90,100,9.37,moderate rain
294,Namatanai,PG,-3.67,152.43,85.06,67,98,9.51,light rain
295,Auki,SB,-8.77,160.7,86.9,63,12,6.51,few clouds
296,Taltal,CL,-25.4,-70.48,54.64,75,34,3.04,scattered clouds
297,Santa Cruz,BO,-17.8,-63.17,71.6,83,24,5.82,few clouds
298,Ghorawal,IN,24.77,82.78,84.43,71,0,5.95,clear sky
299,Hasaki,JP,35.73,140.83,87.01,83,75,10.29,broken clouds
300,Novyy Urengoy,RU,66.08,76.63,44.19,71,0,21.25,clear sky
301,Bilma,NE,18.69,12.92,89.89,35,0,8.81,clear sky
302,Tautira,PF,-17.73,-149.15,82.4,69,40,16.11,scattered clouds
303,Ankara,TR,39.92,32.85,68.0,64,20,6.93,few clouds
304,Egvekinot,RU,66.32,-179.17,41.43,67,41,0.96,scattered clouds
305,Onega,RU,63.91,38.14,56.3,97,98,6.82,heavy intensity rain
306,Benguela,AO,-12.58,13.41,68.72,86,0,3.87,clear sky
307,Abu Samrah,SY,35.3,37.18,77.4,27,0,4.81,clear sky
308,Cherskiy,RU,68.75,161.3,47.71,53,43,6.58,scattered clouds
309,Vakhtan,RU,57.97,46.69,48.74,92,42,3.98,scattered clouds
310,Marmarion,GR,38.05,24.32,71.6,64,0,17.22,clear sky
311,Bari,IT,41.12,16.85,69.01,63,0,8.05,clear sky
312,Jalu,LY,29.03,21.55,74.89,52,0,8.77,clear sky
313,Sur,OM,22.57,59.53,81.46,54,0,8.43,clear sky
314,Camacha,PT,33.08,-16.33,73.4,78,40,5.82,scattered clouds
315,Sao Francisco,BR,-15.95,-44.86,69.31,37,59,7.0,broken clouds
316,Escanaba,US,45.75,-87.06,54.0,60,1,3.36,clear sky
317,Qaqortoq,GL,60.72,-46.03,42.8,93,75,4.7,light intensity drizzle
318,Dzaoudzi,YT,-12.79,45.27,75.2,78,13,10.29,light rain
319,Kalmunai,LK,7.42,81.82,84.06,70,88,3.6,overcast clouds
320,Koksovyy,RU,48.2,40.6,64.35,35,100,14.36,light rain
321,Vokhtoga,RU,58.81,41.05,51.58,93,96,6.55,overcast clouds
322,Plettenberg Bay,ZA,-34.05,23.37,58.71,80,69,3.94,broken clouds
323,Falam,MM,22.92,93.68,73.96,77,91,1.77,overcast clouds
324,Airai,TL,-8.93,125.41,78.42,39,0,5.64,clear sky
325,Xining,CN,36.62,101.77,51.66,73,100,6.71,overcast clouds
326,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,73.56,81,17,11.52,few clouds
327,Nakhon Phanom,TH,17.41,104.78,93.0,79,75,4.7,broken clouds
328,Piacabucu,BR,-10.41,-36.43,73.11,78,26,9.98,scattered clouds
329,Safaga,EG,26.73,33.94,91.4,33,0,5.82,clear sky
330,Lulea,SE,65.58,22.15,57.2,93,35,8.05,scattered clouds
331,Zihuatanejo,MX,17.63,-101.55,81.95,87,97,9.42,overcast clouds
332,Estevan,CA,49.13,-102.98,62.01,54,1,3.74,haze
333,Cravo Norte,CO,6.3,-70.2,78.8,80,36,1.72,scattered clouds
334,Rantauprapat,ID,2.1,99.83,85.33,65,72,1.45,broken clouds
335,Genhe,CN,50.78,121.52,55.02,87,100,4.81,overcast clouds
336,Giddarbaha,IN,30.2,74.67,86.27,66,7,6.76,clear sky
337,Torbay,CA,47.67,-52.73,66.0,100,75,14.99,broken clouds
338,Mandalgovi,MN,45.76,106.27,71.85,25,100,11.16,overcast clouds
339,Coahuayana,MX,18.73,-103.68,77.0,78,90,17.22,moderate rain
340,Lompoc,US,34.64,-120.46,64.4,77,1,10.29,clear sky
341,Havelock,US,34.88,-76.9,82.99,78,1,5.82,clear sky
342,Kununurra,AU,-15.77,128.73,91.4,26,0,6.93,clear sky
343,Acari,PE,-15.43,-74.62,60.48,60,21,2.86,few clouds
344,Shingu,JP,33.73,135.98,87.8,66,40,5.82,scattered clouds
345,Brokopondo,SR,4.75,-55.17,77.83,86,81,7.96,broken clouds
346,Selfoss,IS,63.93,-21.0,32.0,88,72,3.0,broken clouds
347,Manokwari,ID,-0.87,134.08,85.44,63,76,3.89,broken clouds
348,Saint George,US,37.1,-113.58,102.2,6,1,5.82,clear sky
349,Chake Chake,TZ,-5.25,39.77,75.33,79,88,8.21,light rain
350,Aklavik,CA,68.22,-135.01,50.0,53,75,8.05,broken clouds
351,Codrington,AU,-38.27,141.97,57.25,68,32,7.02,scattered clouds
352,Ternate,ID,0.8,127.4,84.67,69,55,4.99,broken clouds
353,Pevek,RU,69.7,170.31,36.27,83,99,2.33,overcast clouds
354,Aksu,CN,41.12,80.26,76.46,26,41,4.54,scattered clouds
355,Te Anau,NZ,-45.42,167.72,53.58,58,96,6.62,overcast clouds
356,Tocopilla,CL,-22.09,-70.2,60.28,60,19,6.85,few clouds
